ProductId,Product,CategoryId,List Price,Product Image,ProductTranslationEnglish,ProductTranslationSpanish,ProductTranslationFrench,ProductTranslationGerman,ProductTranslationDutch,ProductTranslationItalian,ProductTranslationPortuguese,ProductTranslationRussian,ProductTranslationJapanese,ProductTranslationChinese,ProductTranslationHindi,ProductTranslationHebrew
1,Apples,1,0.75,http://classresources.blob.core.windows.net/images/Apples.png,Apples,Manzanas,Pommes,Äpfel,Appels,Mele,Maçãs,Яблоки,リンゴ,苹果,सेब,תפוחים
2,Bananas,1,0.95,http://classresources.blob.core.windows.net/images/Bananas.png,Bananas,Plátanos,Bananes,Bananen,Bananen,Banane,Bananas,Бананы,バナナ,香蕉,केले,בננות
3,Oranges,1,1.25,http://classresources.blob.core.windows.net/images/Oranges.png,Oranges,Naranjas,Oranges,Orangen,Sinaasappelen,Arance,Laranjas,Апельсины,オレンジ,橘子,संतरे,תפוזים
4,Carrots,2,0.95,http://classresources.blob.core.windows.net/images/Carrots.png,Carrots,Zanahoria,Carottes,Möhren,Worteltjes,Carote,Cenouras,Морковь,ニンジン,胡萝卜,गाजर,גזר
5,Cucumbers,2,2.25,http://classresources.blob.core.windows.net/images/Cucumbers.png,Cucumbers,Pepinos,Concombres,Gurken,Komkommers,Cetrioli,Pepinos,Огурцы,キュウリ,黄瓜,खीरे,מלפפונים
6,Potatoes,2,1.25,http://classresources.blob.core.windows.net/images/Potatoes.png,Potatoes,Papas,Pomme De Terre,Kartoffeln,Aardappels,Patate,Batata,Картофель,ジャガイモ,土豆,आलू,תפוחי אדמה
7,Tomatoes,2,1.75,http://classresources.blob.core.windows.net/images/Tomatoes.png,Tomatoes,Tomates,Tomates,Tomaten,Tomaten,Pomodori,Tomates,Помидоры,トマト,西红柿,टमाटर,עגבניות
8,Milk,3,2.5,http://classresources.blob.core.windows.net/images/Milk.png,Milk,Leche,Lait,Milch,Melk,Latte,Leite,Молоко,乳,牛奶,दूध,חלב
9,Butter,3,2.25,http://classresources.blob.core.windows.net/images/Butter.png,Butter,Mantequilla,Beurre,Butter,Boter,Burro,Manteiga,Масло,バター,黄油,मक्खन,חמאה
10,Cheese,3,3.75,http://classresources.blob.core.windows.net/images/Cheese.png,Cheese,Queso,Fromage,Käse,Kaas,Formaggio,Queijo,Сыр,チーズ,奶酪,पनीर,גבינה
